                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   78256709 |   77855181 |   76615996 |   75188916 |   75070338 |   75084649 |   74652541 |   74649488 |   74733356
  Cycles                             |  293899942 |  293899942 |  293899942 |  293899942 |  293899942 |  293899942 |  293899942 |  293899942 |  293899942
  IPC                                |       0.27 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.25 |       0.25 |       0.25
  Time (ns)                          |  110488700 |  110488700 |  110488700 |  110488700 |  110488700 |  110488700 |  110488700 |  110488700 |  110488700
  Idle time (ns)                     |        -39 |         42 |        -39 |         15 |         15 |         72 |         81 |         88 |         34
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    2171907 |    2160894 |    2126976 |    2087915 |    2084669 |    2085061 |    2073235 |    2073151 |    2075447
  num incorrect                      |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    8525013 |    8481376 |    8346760 |    8191733 |    8178850 |    8180405 |    8133464 |    8133133 |    8142244
    num misses                       |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   36055612 |   35871043 |   35301266 |   34645119 |   34590596 |   34597174 |   34398496 |   34397094 |   34435656
    num misses                       |         71 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        114 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    num misses                       |        112 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    miss rate                        |     98.25% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8525013 |    8481376 |    8346760 |    8191733 |    8178850 |    8180405 |    8133464 |    8133133 |    8142244
    num cache misses                 |    2904071 |    2839747 |    2765010 |    2697319 |    2679392 |    2668474 |    2646500 |    2640190 |    2637987
    miss rate                        |     34.07% |     33.48% |     33.13% |     32.93% |     32.76% |     32.62% |     32.54% |     32.46% |     32.40%
    mpki                             |      37.11 |      36.47 |      36.09 |      35.87 |      35.69 |      35.54 |      35.45 |      35.37 |      35.30
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   36055612 |   35871043 |   35301266 |   34645119 |   34590596 |   34597174 |   34398496 |   34397094 |   34435656
    num cache misses                 |    5693060 |    5683596 |    5649945 |    5633012 |    5631470 |    5632578 |    5610154 |    5622468 |    5623082
    miss rate                        |     15.79% |     15.84% |     16.00% |     16.26% |     16.28% |     16.28% |     16.31% |     16.35% |     16.33%
    mpki                             |      72.75 |      73.00 |      73.74 |      74.92 |      75.02 |      75.02 |      75.15 |      75.32 |      75.24
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8597146 |    8523358 |    8414969 |    8330343 |    8310875 |    8301066 |    8256666 |    8262670 |    8261080
    num cache misses                 |    4742192 |    4779056 |    4921674 |    5120956 |    5141499 |    5141299 |    5199022 |    5218170 |    5217163
    miss rate                        |     55.16% |     56.07% |     58.49% |     61.47% |     61.86% |     61.94% |     62.97% |     63.15% |     63.15%
    mpki                             |      60.60 |      61.38 |      64.24 |      68.11 |      68.49 |      68.47 |      69.64 |      69.90 |      69.81
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4742208 |    4779071 |    4921688 |    5120969 |    5141512 |    5141314 |    5199034 |    5218183 |    5217176
    num cache misses                 |       3834 |       3772 |       3761 |       3742 |       3744 |       3740 |       3733 |       3739 |       3739
    miss rate                        |      0.08% |      0.08% |      0.08% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      33971 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      65.20 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      11.77 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
