                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |      39787 |      35106 |      36233 |      36670 |      39548 |      36233 |      36219 |      36666 |      36686 |      36249 |      36325 |      36903 |      36146 |      36260
  Cycles                             |     248710 |     248710 |     248710 |     248710 |     248710 |     248710 |     248710 |     248710 |     248710 |     248710 |     248710 |     248710 |     248710 |     248710
  IPC                                |       0.16 |       0.14 |       0.15 |       0.15 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |      93500 |      93500 |      93500 |      93500 |      93500 |      93500 |      93500 |      93500 |      93500 |      93500 |      93500 |      93500 |      93500 |      93500
  Idle time (ns)                     |        496 |        399 |        325 |        136 |        313 |         27 |        296 |        320 |        461 |        -53 |        404 |        288 |        183 |        455
  Idle time (%)                      |       0.5% |       0.4% |       0.3% |       0.1% |       0.3% |       0.0% |       0.3% |       0.3% |       0.5% |      -0.1% |       0.4% |       0.3% |       0.2% |       0.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8597 |       8189 |       8421 |       8451 |       8571 |       8421 |       8421 |       8450 |       8453 |       8422 |       8424 |       8466 |       8411 |       8423
  num incorrect                      |       1013 |        912 |        954 |        966 |        986 |        954 |        954 |        966 |        966 |        954 |        957 |        970 |        949 |        956
  misprediction rate                 |     10.54% |     10.02% |     10.18% |     10.26% |     10.32% |     10.18% |     10.18% |     10.26% |     10.26% |     10.17% |     10.20% |     10.28% |     10.14% |     10.19%
  mpki                               |      25.46 |      25.98 |      26.33 |      26.34 |      24.93 |      26.33 |      26.34 |      26.35 |      26.33 |      26.32 |      26.35 |      26.29 |      26.25 |      26.37
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4784 |       4271 |       4434 |       4496 |       4734 |       4434 |       4434 |       4496 |       4498 |       4437 |       4449 |       4518 |       4424 |       4439
    num misses                       |         43 |         38 |         38 |         39 |         40 |         38 |         38 |         39 |         39 |         38 |         39 |         39 |         38 |         38
    miss rate                        |      0.90% |      0.89% |      0.86% |      0.87% |      0.84% |      0.86% |      0.86% |      0.87% |      0.87% |      0.86% |      0.88% |      0.86% |      0.86% |      0.86%
    mpki                             |       1.08 |       1.08 |       1.05 |       1.06 |       1.01 |       1.05 |       1.05 |       1.06 |       1.06 |       1.05 |       1.07 |       1.06 |       1.05 |       1.05
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      10463 |       8564 |       8699 |       8961 |      10349 |       8699 |       8691 |       8959 |       8972 |       8707 |       8745 |       9106 |       8679 |       8710
    num misses                       |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.21% |      0.26% |      0.25% |      0.25% |      0.21% |      0.25% |      0.25% |      0.25% |      0.25% |      0.25% |      0.25% |      0.24% |      0.25% |      0.25%
    mpki                             |       0.55 |       0.63 |       0.61 |       0.60 |       0.56 |       0.61 |       0.61 |       0.60 |       0.60 |       0.61 |       0.61 |       0.60 |       0.61 |       0.61
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         65 |         60 |         60 |         61 |         62 |         60 |         60 |         61 |         61 |         60 |         61 |         61 |         60 |         60
    num misses                       |         65 |         60 |         60 |         61 |         62 |         60 |         60 |         61 |         61 |         60 |         61 |         61 |         60 |         60
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.63 |       1.71 |       1.66 |       1.66 |       1.57 |       1.66 |       1.66 |       1.66 |       1.66 |       1.66 |       1.68 |       1.65 |       1.66 |       1.65
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4784 |       4271 |       4434 |       4496 |       4734 |       4434 |       4434 |       4496 |       4498 |       4437 |       4449 |       4518 |       4424 |       4439
    num cache misses                 |       2972 |       2641 |       2876 |       2978 |       2734 |       2660 |       2724 |       2842 |       2793 |       2951 |       2765 |       2877 |       2741 |       2923
    miss rate                        |     62.12% |     61.84% |     64.86% |     66.24% |     57.75% |     59.99% |     61.43% |     63.21% |     62.09% |     66.51% |     62.15% |     63.68% |     61.96% |     65.85%
    mpki                             |      74.70 |      75.23 |      79.38 |      81.21 |      69.13 |      73.41 |      75.21 |      77.51 |      76.13 |      81.41 |      76.12 |      77.96 |      75.83 |      80.61
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10463 |       8564 |       8699 |       8961 |      10349 |       8699 |       8691 |       8959 |       8972 |       8707 |       8745 |       9106 |       8679 |       8710
    num cache misses                 |       2380 |       2202 |       2399 |       2339 |       2238 |       2211 |       2242 |       2277 |       2354 |       2410 |       2326 |       2277 |       2265 |       2394
    miss rate                        |     22.75% |     25.71% |     27.58% |     26.10% |     21.63% |     25.42% |     25.80% |     25.42% |     26.24% |     27.68% |     26.60% |     25.01% |     26.10% |     27.49%
    mpki                             |      59.82 |      62.72 |      66.21 |      63.79 |      56.59 |      61.02 |      61.90 |      62.10 |      64.17 |      66.48 |      64.03 |      61.70 |      62.66 |      66.02
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5369 |       4853 |       5285 |       5328 |       4983 |       4881 |       4977 |       5130 |       5158 |       5371 |       5102 |       5165 |       5017 |       5327
    num cache misses                 |       3776 |       3659 |       3815 |       3741 |       3669 |       3673 |       3738 |       3687 |       3597 |       3922 |       3693 |       3684 |       3748 |       3798
    miss rate                        |     70.33% |     75.40% |     72.19% |     70.21% |     73.63% |     75.25% |     75.11% |     71.87% |     69.74% |     73.02% |     72.38% |     71.33% |     74.71% |     71.30%
    mpki                             |      94.91 |     104.23 |     105.29 |     102.02 |      92.77 |     101.37 |     103.21 |     100.56 |      98.05 |     108.20 |     101.67 |      99.83 |     103.69 |     104.74
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3794 |       3671 |       3825 |       3753 |       3680 |       3684 |       3750 |       3698 |       3609 |       3934 |       3704 |       3695 |       3759 |       3809
    num cache misses                 |        780 |        701 |        708 |        723 |        744 |        711 |        708 |        723 |        724 |        710 |        722 |        728 |        703 |        710
    miss rate                        |     20.56% |     19.10% |     18.51% |     19.26% |     20.22% |     19.30% |     18.88% |     19.55% |     20.06% |     18.05% |     19.49% |     19.70% |     18.70% |     18.64%
    mpki                             |      19.60 |      19.97 |      19.54 |      19.72 |      18.81 |      19.62 |      19.55 |      19.72 |      19.74 |      19.59 |      19.88 |      19.73 |      19.45 |      19.58
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      10135 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     672.45 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     619.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     91.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        184 |        176 |        170 |        169 |        171 |        172 |        165 |        169 |        169 |        168 |        171 |        172 |        168 |        167
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
