                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      39781 |      39767 |      36666 |      39788 |      39767 |      36287 |      37879 |      34661 |      39767 |      28320 |      39767 |      36666 |      27314 |      28352 |      39767 |      34414
  Cycles                             |     280630 |     280630 |     280630 |     280630 |     280630 |     280630 |     280630 |     280630 |     280630 |     280630 |     280630 |     280630 |     280630 |     280630 |     280630 |     280630
  IPC                                |       0.14 |       0.14 |       0.13 |       0.14 |       0.14 |       0.13 |       0.13 |       0.12 |       0.14 |       0.10 |       0.14 |       0.13 |       0.10 |       0.10 |       0.14 |       0.12
  Time (ns)                          |     105500 |     105500 |     105500 |     105500 |     105500 |     105500 |     105500 |     105500 |     105500 |     105500 |     105500 |     105500 |     105500 |     105500 |     105500 |     105500
  Idle time (ns)                     |       2718 |       2310 |       2119 |       3259 |       1151 |       2860 |       3266 |       2872 |         -7 |       2567 |        680 |       2136 |       3273 |       3013 |       2412 |       3084
  Idle time (%)                      |       2.6% |       2.2% |       2.0% |       3.1% |       1.1% |       2.7% |       3.1% |       2.7% |      -0.0% |       2.4% |       0.6% |       2.0% |       3.1% |       2.9% |       2.3% |       2.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8597 |       8596 |       8450 |       8597 |       8596 |       8423 |       8502 |       8097 |       8596 |       6951 |       8596 |       8450 |       6762 |       6954 |       8596 |       8058
  num incorrect                      |       1013 |       1013 |        966 |       1013 |       1013 |        956 |        972 |        898 |       1013 |        789 |       1013 |        966 |        781 |        790 |       1013 |        887
  misprediction rate                 |     10.54% |     10.54% |     10.26% |     10.54% |     10.54% |     10.19% |     10.26% |      9.98% |     10.54% |     10.19% |     10.54% |     10.26% |     10.35% |     10.20% |     10.54% |      9.92%
  mpki                               |      25.46 |      25.47 |      26.35 |      25.46 |      25.47 |      26.35 |      25.66 |      25.91 |      25.47 |      27.86 |      25.47 |      26.35 |      28.59 |      27.86 |      25.47 |      25.77
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4782 |       4781 |       4496 |       4784 |       4781 |       4444 |       4592 |       4202 |       4781 |       3395 |       4781 |       4496 |       3337 |       3401 |       4781 |       4164
    num misses                       |         42 |         42 |         39 |         43 |         42 |         39 |         39 |         38 |         42 |         33 |         42 |         39 |         31 |         33 |         42 |         37
    miss rate                        |      0.88% |      0.88% |      0.87% |      0.90% |      0.88% |      0.88% |      0.85% |      0.90% |      0.88% |      0.97% |      0.88% |      0.87% |      0.93% |      0.97% |      0.88% |      0.89%
    mpki                             |       1.06 |       1.06 |       1.06 |       1.08 |       1.06 |       1.07 |       1.03 |       1.10 |       1.06 |       1.17 |       1.06 |       1.06 |       1.13 |       1.16 |       1.06 |       1.08
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      10462 |      10455 |       8959 |      10463 |      10455 |       8724 |       9564 |       8495 |      10455 |       6521 |      10455 |       8959 |       6323 |       6527 |      10455 |       8433
    num misses                       |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         20 |         22 |         22 |         18 |         20 |         22 |         21
    miss rate                        |      0.21% |      0.21% |      0.25% |      0.21% |      0.21% |      0.25% |      0.23% |      0.26% |      0.21% |      0.31% |      0.21% |      0.25% |      0.28% |      0.31% |      0.21% |      0.25%
    mpki                             |       0.55 |       0.55 |       0.60 |       0.55 |       0.55 |       0.61 |       0.58 |       0.63 |       0.55 |       0.71 |       0.55 |       0.60 |       0.66 |       0.71 |       0.55 |       0.61
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         64 |         64 |         61 |         65 |         64 |         61 |         61 |         60 |         64 |         53 |         64 |         61 |         49 |         53 |         64 |         58
    num misses                       |         64 |         64 |         61 |         65 |         64 |         61 |         61 |         60 |         64 |         53 |         64 |         61 |         49 |         53 |         64 |         58
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.61 |       1.61 |       1.66 |       1.63 |       1.61 |       1.68 |       1.61 |       1.73 |       1.61 |       1.87 |       1.61 |       1.66 |       1.79 |       1.87 |       1.61 |       1.69
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4782 |       4781 |       4496 |       4784 |       4781 |       4444 |       4592 |       4202 |       4781 |       3395 |       4781 |       4496 |       3337 |       3401 |       4781 |       4164
    num cache misses                 |       2715 |       2998 |       2763 |       2910 |       2757 |       2553 |       2995 |       2464 |       2969 |       2217 |       2865 |       2668 |       2014 |       2140 |       2864 |       2502
    miss rate                        |     56.78% |     62.71% |     61.45% |     60.83% |     57.67% |     57.45% |     65.22% |     58.64% |     62.10% |     65.30% |     59.92% |     59.34% |     60.35% |     62.92% |     59.90% |     60.09%
    mpki                             |      68.25 |      75.39 |      75.36 |      73.14 |      69.33 |      70.36 |      79.07 |      71.09 |      74.66 |      78.28 |      72.04 |      72.76 |      73.74 |      75.48 |      72.02 |      72.70
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10462 |      10455 |       8959 |      10463 |      10455 |       8724 |       9564 |       8495 |      10455 |       6521 |      10455 |       8959 |       6323 |       6527 |      10455 |       8433
    num cache misses                 |       2308 |       2374 |       2316 |       2346 |       2221 |       2226 |       2389 |       2090 |       2413 |       1812 |       2303 |       2307 |       1683 |       1782 |       2299 |       2088
    miss rate                        |     22.06% |     22.71% |     25.85% |     22.42% |     21.24% |     25.52% |     24.98% |     24.60% |     23.08% |     27.79% |     22.03% |     25.75% |     26.62% |     27.30% |     21.99% |     24.76%
    mpki                             |      58.02 |      59.70 |      63.16 |      58.96 |      55.85 |      61.34 |      63.07 |      60.30 |      60.68 |      63.98 |      57.91 |      62.92 |      61.62 |      62.85 |      57.81 |      60.67
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
