                                     | Core 0     | Core 1    
  Instructions                       |      39787 |      38480
  Cycles                             |     108262 |     108262
  IPC                                |       0.37 |       0.36
  Time (ns)                          |      40700 |      40700
  Idle time (ns)                     |        -41 |        -24
  Idle time (%)                      |      -0.1% |      -0.1%
Branch predictor stats               |            |           
  num correct                        |       8597 |       8526
  num incorrect                      |       1013 |        972
  misprediction rate                 |     10.54% |     10.23%
  mpki                               |      25.46 |      25.26
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |       4784 |       4640
    num misses                       |         43 |         39
    miss rate                        |      0.90% |      0.84%
    mpki                             |       1.08 |       1.01
  D-TLB                              |            |           
    num accesses                     |      10463 |       9849
    num misses                       |         22 |         22
    miss rate                        |      0.21% |      0.22%
    mpki                             |       0.55 |       0.57
  L2 TLB                             |            |           
    num accesses                     |         65 |         61
    num misses                       |         65 |         61
    miss rate                        |    100.00% |    100.00%
    mpki                             |       1.63 |       1.59
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |       4784 |       4640
    num cache misses                 |        506 |        475
    miss rate                        |     10.58% |     10.24%
    mpki                             |      12.72 |      12.34
  Cache L1-D                         |            |           
    num cache accesses               |      10463 |       9849
    num cache misses                 |        326 |        319
    miss rate                        |      3.12% |      3.24%
    mpki                             |       8.19 |       8.29
  Cache L2                           |            |           
    num cache accesses               |        857 |        813
    num cache misses                 |        777 |        723
    miss rate                        |     90.67% |     88.93%
    mpki                             |      19.53 |      18.79
  Cache L3                           |            |           
    num cache accesses               |        802 |        742
    num cache misses                 |        777 |        723
    miss rate                        |     96.88% |     97.44%
    mpki                             |      19.53 |      18.79
DRAM summary                         |            |           
  num dram accesses                  |       1500 |          0
  average dram access latency (ns)   |      99.18 |        inf
  average dram queueing delay        |      45.75 |       0.00
  average dram bandwidth utilization |     31.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |        170 |        156
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
