                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      39619 |      39781 |      39787 |      39704
  Cycles                             |     133266 |     133266 |     133266 |     133266
  IPC                                |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |      50100 |      50100 |      50100 |      50100
  Idle time (ns)                     |         -8 |        -33 |         51 |        -68
  Idle time (%)                      |      -0.0% |      -0.1% |       0.1% |      -0.1%
Branch predictor stats               |            |            |            |           
  num correct                        |       8577 |       8597 |       8597 |       8588
  num incorrect                      |        997 |       1013 |       1013 |       1003
  misprediction rate                 |     10.41% |     10.54% |     10.54% |     10.46%
  mpki                               |      25.16 |      25.46 |      25.46 |      25.26
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |       4750 |       4783 |       4784 |       4766
    num misses                       |         41 |         43 |         43 |         42
    miss rate                        |      0.86% |      0.90% |      0.90% |      0.88%
    mpki                             |       1.03 |       1.08 |       1.08 |       1.06
  D-TLB                              |            |            |            |           
    num accesses                     |      10379 |      10463 |      10463 |      10424
    num misses                       |         22 |         22 |         22 |         22
    miss rate                        |      0.21% |      0.21% |      0.21% |      0.21%
    mpki                             |       0.56 |       0.55 |       0.55 |       0.55
  L2 TLB                             |            |            |            |           
    num accesses                     |         63 |         65 |         65 |         64
    num misses                       |         63 |         65 |         65 |         64
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.59 |       1.63 |       1.63 |       1.61
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |       4750 |       4783 |       4784 |       4766
    num cache misses                 |        635 |        753 |        741 |        741
    miss rate                        |     13.37% |     15.74% |     15.49% |     15.55%
    mpki                             |      16.03 |      18.93 |      18.62 |      18.66
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      10379 |      10463 |      10463 |      10424
    num cache misses                 |        530 |        529 |        527 |        518
    miss rate                        |      5.11% |      5.06% |      5.04% |      4.97%
    mpki                             |      13.38 |      13.30 |      13.25 |      13.05
  Cache L2                           |            |            |            |           
    num cache accesses               |       1184 |       1305 |       1291 |       1280
    num cache misses                 |        773 |        797 |        793 |        786
    miss rate                        |     65.29% |     61.07% |     61.43% |     61.41%
    mpki                             |      19.51 |      20.03 |      19.93 |      19.80
  Cache L3                           |            |            |            |           
    num cache accesses               |        794 |        822 |        818 |        808
    num cache misses                 |        748 |        776 |        777 |        767
    miss rate                        |     94.21% |     94.40% |     94.99% |     94.93%
    mpki                             |      18.88 |      19.51 |      19.53 |      19.32
DRAM summary                         |            |            |            |           
  num dram accesses                  |       3068 |          0 |          0 |          0
  average dram access latency (ns)   |     140.56 |        inf |        inf |        inf
  average dram queueing delay        |      87.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     51.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        160 |        171 |        171 |        170
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
