                                     | Core 0    
  Instructions                       |    9893159
  Cycles                             |   18986282
  IPC                                |       0.52
  Time (ns)                          |    7137700
  Idle time (ns)                     |        -64
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |     287362
  num incorrect                      |       1015
  misprediction rate                 |      0.35%
  mpki                               |       0.10
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1086228
    num misses                       |         43
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    4564637
    num misses                       |         32
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |         75
    num misses                       |         75
    miss rate                        |    100.00%
    mpki                             |       0.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1086228
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |    4564637
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L2                           |           
    num cache accesses               |          0
    num cache misses                 |          0
    miss rate                        |       inf%
    mpki                             |       0.00
  Cache L3                           |           
    num cache accesses               |          0
    num cache misses                 |          0
    miss rate                        |       inf%
    mpki                             |       0.00
DRAM summary                         |           
  num dram accesses                  |          0
  average dram access latency (ns)   |        inf
  average dram queueing delay        |       0.00
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
