                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |    9828886 |    9743789 |    9750597 |    9843690 |    9856031 |    9780135 |    9780152 |    9833104 |    9775674 |    9802691 |    9893094 |    9775323 |    9798830
  Cycles                             |  121381386 |  121381386 |  121381386 |  121381386 |  121381386 |  121381386 |  121381386 |  121381386 |  121381386 |  121381386 |  121381386 |  121381386 |  121381386
  IPC                                |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Time (ns)                          |   45632100 |   45632100 |   45632100 |   45632100 |   45632100 |   45632100 |   45632100 |   45632100 |   45632100 |   45632100 |   45632100 |   45632100 |   45632100
  Idle time (ns)                     |        411 |        111 |         36 |        149 |        283 |        -62 |         36 |        116 |        363 |        273 |        -62 |        396 |        392
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     285560 |     283202 |     283391 |     285970 |     286312 |     284208 |     284209 |     285676 |     284085 |     284834 |     287362 |     284075 |     284727
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |       1015 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1079202 |    1069914 |    1070658 |    1080818 |    1082165 |    1073879 |    1073882 |    1079661 |    1073393 |    1076343 |    1086228 |    1073355 |    1075921
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4535111 |    4495955 |    4499090 |    4541923 |    4547602 |    4512667 |    4512688 |    4537050 |    4510628 |    4523059 |    4564604 |    4510468 |    4521280
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72
    num misses                       |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1079202 |    1069914 |    1070658 |    1080818 |    1082165 |    1073879 |    1073882 |    1079661 |    1073393 |    1076343 |    1086228 |    1073355 |    1075921
    num cache misses                 |     369735 |     361125 |     358105 |     358476 |     356685 |     353473 |     352220 |     352976 |     350391 |     350519 |     352587 |     348710 |     349153
    miss rate                        |     34.26% |     33.75% |     33.45% |     33.17% |     32.96% |     32.92% |     32.80% |     32.69% |     32.64% |     32.57% |     32.46% |     32.49% |     32.45%
    mpki                             |      37.62 |      37.06 |      36.73 |      36.42 |      36.19 |      36.14 |      36.01 |      35.90 |      35.84 |      35.76 |      35.64 |      35.67 |      35.63
