                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696592 |    9830738 |    9742962 |    9767691 |    9888290 |    9775360 |    9874246 |    9859053 |    9795642 |    9817459 |    9893070 |    9810259 |    9819632 |    9812149 |    9834178
  Cycles                             |  155585528 |  155585528 |  155585528 |  155585528 |  155585528 |  155585528 |  155585528 |  155585528 |  155585528 |  155585528 |  155585528 |  155585528 |  155585528 |  155585528 |  155585528
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |   58490800 |   58490800 |   58490800 |   58490800 |   58490800 |   58490800 |   58490800 |   58490800 |   58490800 |   58490800 |   58490800 |   58490800 |   58490800 |   58490800 |   58490800
  Idle time (ns)                     |        229 |        126 |        440 |        440 |        183 |         -2 |        468 |        354 |        335 |        613 |         -2 |        229 |        183 |        335 |        126
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     281892 |     285610 |     283179 |     283864 |     287206 |     284076 |     286817 |     286395 |     284639 |     285243 |     287362 |     285044 |     285303 |     285096 |     285706
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |       1015 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1064760 |    1079402 |    1069823 |    1072523 |    1085687 |    1073359 |    1084154 |    1082494 |    1075574 |    1077955 |    1086228 |    1077170 |    1078191 |    1077375 |    1079779
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
