                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    9756538 |    9705780 |    9718809 |    9733775 |    9856389 |    9836565 |    9739699 |    9889845 |    9755508 |    9893074 |    9769978 |    9858725 |    9792208 |    9826057 |    9768164 |    9785060
  Cycles                             |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606 |  168641606
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100 |   63399100
  Idle time (ns)                     |        453 |        502 |        406 |        677 |        478 |         59 |         -1 |        264 |        146 |        -89 |        -89 |        -89 |        237 |        192 |         59 |        149
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     283554 |     282147 |     282509 |     282923 |     286321 |     285772 |     283086 |     287248 |     283527 |     287362 |     283927 |     286386 |     284543 |     285482 |     283877 |     284345
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |       1015 |        974 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1071303 |    1065763 |    1067186 |    1068820 |    1082203 |    1080039 |    1069465 |    1085855 |    1071193 |    1086228 |    1072771 |    1082458 |    1075198 |    1078894 |    1072574 |    1074418
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4501822 |    4478465 |    4484458 |    4491349 |    4547766 |    4538644 |    4494072 |    4563157 |    4501342 |    4564598 |    4508003 |    4548830 |    4518236 |    4533809 |    4507172 |    4514946
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         72 |         72
    num misses                       |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1071303 |    1065763 |    1067186 |    1068820 |    1082203 |    1080039 |    1069465 |    1085855 |    1071193 |    1086228 |    1072771 |    1082458 |    1075198 |    1078894 |    1072574 |    1074418
    num cache misses                 |     368714 |     360603 |     358023 |     356452 |     358553 |     356749 |     352432 |     356523 |     351105 |     354867 |     350334 |     352928 |     350206 |     350861 |     348514 |     348604
    miss rate                        |     34.42% |     33.84% |     33.55% |     33.35% |     33.13% |     33.03% |     32.95% |     32.83% |     32.78% |     32.67% |     32.66% |     32.60% |     32.57% |     32.52% |     32.49% |     32.45%
    mpki                             |      37.79 |      37.15 |      36.84 |      36.62 |      36.38 |      36.27 |      36.19 |      36.05 |      35.99 |      35.87 |      35.86 |      35.80 |      35.76 |      35.71 |      35.68 |      35.63
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4501822 |    4478465 |    4484458 |    4491349 |    4547766 |    4538644 |    4494072 |    4563157 |    4501342 |    4564598 |    4508003 |    4548830 |    4518236 |    4533809 |    4507172 |    4514946
    num cache misses                 |    3093725 |    3161297 |    3166112 |    3188089 |    3076090 |    3075897 |    3189712 |    3060540 |    3194707 |    3057432 |    3204990 |    3142381 |    3180421 |    3113679 |    3204600 |    3195638
    miss rate                        |     68.72% |     70.59% |     70.60% |     70.98% |     67.64% |     67.77% |     70.98% |     67.07% |     70.97% |     66.98% |     71.10% |     69.08% |     70.39% |     68.68% |     71.10% |     70.78%
    mpki                             |     317.09 |     325.71 |     325.77 |     327.53 |     312.09 |     312.70 |     327.50 |     309.46 |     327.48 |     309.05 |     328.04 |     318.74 |     324.79 |     316.88 |     328.07 |     326.58
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3462452 |    3521914 |    3524148 |    3544554 |    3434657 |    3432658 |    3542156 |    3417077 |    3545826 |    3412315 |    3555338 |    3495323 |    3530639 |    3464554 |    3553127 |    3544255
    num cache misses                 |    3170609 |    3254270 |    3263126 |    3277125 |    3179909 |    3188273 |    3276555 |    3185061 |    3276955 |    3183664 |    3285199 |    3241206 |    3277005 |    3271826 |    3278698 |    3281424
    miss rate                        |     91.57% |     92.40% |     92.59% |     92.46% |     92.58% |     92.88% |     92.50% |     93.21% |     92.42% |     93.30% |     92.40% |     92.73% |     92.82% |     94.44% |     92.28% |     92.58%
    mpki                             |     324.97 |     335.29 |     335.75 |     336.68 |     322.62 |     324.12 |     336.41 |     322.05 |     335.91 |     321.81 |     336.25 |     328.77 |     334.65 |     332.97 |     335.65 |     335.35
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3170623 |    3254285 |    3263140 |    3277140 |    3179923 |    3188287 |    3276569 |    3185075 |    3276971 |    3183681 |    3285213 |    3241220 |    3277021 |    3271843 |    3278714 |    3281440
    num cache misses                 |       1494 |       1493 |       1493 |       1491 |       1495 |       1495 |       1495 |       1496 |       1497 |       1541 |       1494 |       1497 |       1498 |       1495 |       1494 |       1495
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      24038 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      90.84 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      37.41 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        638 |        667 |        685 |        688 |        660 |        653 |        684 |        658 |        686 |        669 |        685 |        687 |        690 |        684 |        674 |        671
