                                     | Core 0     | Core 1    
  Instructions                       |    9893110 |    9892877
  Cycles                             |   19607658 |   19607658
  IPC                                |       0.50 |       0.50
  Time (ns)                          |    7371300 |    7371300
  Idle time (ns)                     |      -1660 |        -39
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |     287362 |     287339
  num incorrect                      |       1015 |        996
  misprediction rate                 |      0.35% |      0.35%
  mpki                               |       0.10 |       0.10
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1086228 |    1086199
    num misses                       |         43 |         41
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |    4564613 |    4564553
    num misses                       |         32 |         32
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |         75 |         73
    num misses                       |         75 |         73
    miss rate                        |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1086228 |    1086199
    num cache misses                 |        537 |        524
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.05 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    4564613 |    4564553
    num cache misses                 |      20031 |      20237
    miss rate                        |      0.44% |      0.44%
    mpki                             |       2.02 |       2.05
  Cache L2                           |            |           
    num cache accesses               |      20590 |      20782
    num cache misses                 |       1526 |       1497
    miss rate                        |      7.41% |      7.20%
    mpki                             |       0.15 |       0.15
  Cache L3                           |            |           
    num cache accesses               |       1549 |       1519
    num cache misses                 |       1525 |       1496
    miss rate                        |     98.45% |     98.49%
    mpki                             |       0.15 |       0.15
DRAM summary                         |            |           
  num dram accesses                  |       3021 |          0
  average dram access latency (ns)   |      66.80 |        inf
  average dram queueing delay        |      13.37 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |        166 |        156
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
