                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |    9893062 |    9865823 |    9873916
  Cycles                             |   21029428 |   21029428 |   21029428
  IPC                                |       0.47 |       0.47 |       0.47
  Time (ns)                          |    7905800 |    7905800 |    7905800
  Idle time (ns)                     |        -19 |        -19 |        -20
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |     287362 |     286583 |     286805
  num incorrect                      |       1015 |        974 |        974
  misprediction rate                 |      0.35% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |    1086228 |    1083234 |    1084107
    num misses                       |         43 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |    4564592 |    4552101 |    4555780
    num misses                       |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |         75 |         72 |         72
    num misses                       |         75 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |    1086228 |    1083234 |    1084107
    num cache misses                 |        616 |        608 |        600
    miss rate                        |      0.06% |      0.06% |      0.06%
    mpki                             |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |           
    num cache accesses               |    4564592 |    4552101 |    4555780
    num cache misses                 |     150078 |     160392 |     169962
    miss rate                        |      3.29% |      3.52% |      3.73%
    mpki                             |      15.17 |      16.26 |      17.21
  Cache L2                           |            |            |           
    num cache accesses               |     150716 |     161019 |     170580
    num cache misses                 |       1562 |       1496 |       1503
    miss rate                        |      1.04% |      0.93% |      0.88%
    mpki                             |       0.16 |       0.15 |       0.15
  Cache L3                           |            |            |           
    num cache accesses               |       1585 |       1516 |       1523
    num cache misses                 |       1521 |       1476 |       1476
    miss rate                        |     95.96% |     97.36% |     96.91%
    mpki                             |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |           
  num dram accesses                  |       4473 |          0 |          0
  average dram access latency (ns)   |      68.33 |        inf |        inf
  average dram queueing delay        |      14.90 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |        165 |        154 |        154
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
