                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |    9893058 |    9758820 |    9804522 |    9802163 |    9803994
  Cycles                             |   24506846 |   24506846 |   24506846 |   24506846 |   24506846
  IPC                                |       0.40 |       0.40 |       0.40 |       0.40 |       0.40
  Time (ns)                          |    9213100 |    9213100 |    9213100 |    9213100 |    9213100
  Idle time (ns)                     |        -32 |         46 |         38 |         30 |        -32
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |     287362 |     283618 |     284884 |     284819 |     284869
  num incorrect                      |       1015 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.35% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    1086228 |    1071554 |    1076542 |    1076284 |    1076483
    num misses                       |         43 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |    4564590 |    4502873 |    4523903 |    4522819 |    4523651
    num misses                       |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |         75 |         72 |         72 |         72 |         72
    num misses                       |         75 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    1086228 |    1071554 |    1076542 |    1076284 |    1076483
    num cache misses                 |     302864 |     313554 |     313116 |     314282 |     317158
    miss rate                        |     27.88% |     29.26% |     29.09% |     29.20% |     29.46%
    mpki                             |      30.61 |      32.13 |      31.94 |      32.06 |      32.35
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |    4564590 |    4502873 |    4523903 |    4522819 |    4523651
    num cache misses                 |      69325 |     213733 |     218599 |     245186 |     259623
    miss rate                        |      1.52% |      4.75% |      4.83% |      5.42% |      5.74%
    mpki                             |       7.01 |      21.90 |      22.30 |      25.01 |      26.48
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     372206 |     527303 |     531732 |     559483 |     576797
    num cache misses                 |       3447 |       5117 |       5203 |       4994 |       5259
    miss rate                        |      0.93% |      0.97% |      0.98% |      0.89% |      0.91%
    mpki                             |       0.35 |       0.52 |       0.53 |       0.51 |       0.54
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3468 |       5136 |       5222 |       5012 |       5278
    num cache misses                 |       1520 |       1474 |       1475 |       1475 |       1475
    miss rate                        |     43.83% |     28.70% |     28.25% |     29.43% |     27.95%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |       7419 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      72.73 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.30 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |        363 |        406 |        403 |        417 |        412
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
