                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    9892921 |    9893074 |    9881306 |    9879711 |    9871536 |    9870126 |    9878142 |    9890215
  Cycles                             |   33422102 |   33422102 |   33422102 |   33422102 |   33422102 |   33422102 |   33422102 |   33422102
  IPC                                |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |   12564700 |   12564700 |   12564700 |   12564700 |   12564700 |   12564700 |   12564700 |   12564700
  Idle time (ns)                     |         45 |        -76 |         23 |        -76 |          7 |          4 |         45 |         23
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     287342 |     287362 |     287012 |     286968 |     286742 |     286702 |     286924 |     287258
  num incorrect                      |       1000 |       1015 |        974 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.35% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1086205 |    1086228 |    1084923 |    1084750 |    1083858 |    1083703 |    1084578 |    1085895
    num misses                       |         42 |         43 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    4564565 |    4564600 |    4559230 |    4558500 |    4554731 |    4554087 |    4557774 |    4563329
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |         74 |         75 |         72 |         72 |         72 |         72 |         72 |         72
    num misses                       |         74 |         75 |         72 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1086205 |    1086228 |    1084923 |    1084750 |    1083858 |    1083703 |    1084578 |    1085895
    num cache misses                 |     360011 |     357920 |     355234 |     353680 |     352441 |     351278 |     351141 |     350921
    miss rate                        |     33.14% |     32.95% |     32.74% |     32.60% |     32.52% |     32.41% |     32.38% |     32.32%
    mpki                             |      36.39 |      36.18 |      35.95 |      35.80 |      35.70 |      35.59 |      35.55 |      35.48
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    4564565 |    4564600 |    4559230 |    4558500 |    4554731 |    4554087 |    4557774 |    4563329
    num cache misses                 |     402665 |     383176 |     435703 |     437686 |     425313 |     415015 |     437596 |     436221
    miss rate                        |      8.82% |      8.39% |      9.56% |      9.60% |      9.34% |      9.11% |      9.60% |      9.56%
    mpki                             |      40.70 |      38.73 |      44.09 |      44.30 |      43.08 |      42.05 |      44.30 |      44.11
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     762692 |     741114 |     790952 |     791380 |     777768 |     766307 |     788751 |     787156
    num cache misses                 |      44528 |      44505 |      44953 |      45089 |      45089 |      45170 |      45321 |      45716
    miss rate                        |      5.84% |      6.01% |      5.68% |      5.70% |      5.80% |      5.89% |      5.75% |      5.81%
    mpki                             |       4.50 |       4.50 |       4.55 |       4.56 |       4.57 |       4.58 |       4.59 |       4.62
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      44547 |      44526 |      44971 |      45106 |      45106 |      45187 |      45338 |      45733
    num cache misses                 |       1501 |       1525 |       1476 |       1476 |       1476 |       1476 |       1476 |       1476
    miss rate                        |      3.37% |      3.42% |      3.28% |      3.27% |      3.27% |      3.27% |      3.26% |      3.23%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      11882 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      79.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      25.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        176 |        190 |        175 |        181 |        175 |        184 |        174 |        177
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
