                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9893133 |    9870346 |    9772478 |    9750265 |    9725414 |    9659472 |    9634204 |    9624469 |    9594322
  Cycles                             |   47840366 |   47840366 |   47840366 |   47840366 |   47840366 |   47840366 |   47840366 |   47840366 |   47840366
  IPC                                |       0.21 |       0.21 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   17985100 |   17985100 |   17985100 |   17985100 |   17985100 |   17985100 |   17985100 |   17985100 |   17985100
  Idle time (ns)                     |        -24 |        113 |         12 |         36 |         30 |         12 |        139 |         86 |        -24
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |     287362 |     286708 |     283997 |     283382 |     282690 |     280864 |     280164 |     279894 |     279058
  num incorrect                      |       1015 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.35% |      0.35% |      0.35%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1086228 |    1083727 |    1073045 |    1070622 |    1067905 |    1060709 |    1057952 |    1056889 |    1053597
    num misses                       |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4564623 |    4554187 |    4509154 |    4498937 |    4487499 |    4457159 |    4445537 |    4441057 |    4427167
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    num misses                       |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1086228 |    1083727 |    1073045 |    1070622 |    1067905 |    1060709 |    1057952 |    1056889 |    1053597
    num cache misses                 |     369536 |     362017 |     355152 |     351511 |     348025 |     345931 |     343660 |     342702 |     340850
    miss rate                        |     34.02% |     33.40% |     33.10% |     32.83% |     32.59% |     32.61% |     32.48% |     32.43% |     32.35%
    mpki                             |      37.35 |      36.68 |      36.34 |      36.05 |      35.79 |      35.81 |      35.67 |      35.61 |      35.53
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4564623 |    4554187 |    4509154 |    4498937 |    4487499 |    4457159 |    4445537 |    4441057 |    4427167
    num cache misses                 |     620915 |     615634 |     629720 |     602121 |     582676 |     624673 |     669864 |     669301 |     633266
    miss rate                        |     13.60% |     13.52% |     13.97% |     13.38% |     12.98% |     14.02% |     15.07% |     15.07% |     14.30%
    mpki                             |      62.76 |      62.37 |      64.44 |      61.75 |      59.91 |      64.67 |      69.53 |      69.54 |      66.00
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     990468 |     977666 |     984885 |     953648 |     930717 |     970617 |    1013537 |    1012016 |     974131
    num cache misses                 |     615777 |     619276 |     630730 |     637693 |     642538 |     649611 |     652294 |     654844 |     658531
    miss rate                        |     62.17% |     63.34% |     64.04% |     66.87% |     69.04% |     66.93% |     64.36% |     64.71% |     67.60%
    mpki                             |      62.24 |      62.74 |      64.54 |      65.40 |      66.07 |      67.25 |      67.71 |      68.04 |      68.64
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     615798 |     619293 |     630746 |     637709 |     642554 |     649627 |     652309 |     654860 |     658546
    num cache misses                 |       1535 |       1485 |       1481 |       1484 |       1483 |       1481 |       1483 |       1478 |       1482
    miss rate                        |      0.25% |      0.24% |      0.23% |      0.23% |      0.23% |      0.23% |      0.23% |      0.23% |      0.23%
    mpki                             |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      13403 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      78.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      25.48 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |        746 |        717 |        739 |        724 |        713 |        719 |        724 |        726 |        748
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
