                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |    9889539 |    9892065 |    9892947 |    9891435 |    9888132 |    9891312 |    9892522 |    9892402 |    9893086 |    9892564 |    9893048 |    9892395 |    9889941
  Cycles                             |   52172708 |   52172708 |   52172708 |   52172708 |   52172708 |   52172708 |   52172708 |   52172708 |   52172708 |   52172708 |   52172708 |   52172708 |   52172708
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   19613800 |   19613800 |   19613800 |   19613800 |   19613800 |   19613800 |   19613800 |   19613800 |   19613800 |   19613800 |   19613800 |   19613800 |   19613800
  Idle time (ns)                     |         83 |         30 |         -9 |        137 |         83 |        135 |          4 |         82 |        -41 |         32 |        135 |         46 |         80
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     287240 |     287310 |     287345 |     287293 |     287202 |     287289 |     287322 |     287319 |     287362 |     287323 |     287361 |     287319 |     287251
  num incorrect                      |        974 |        974 |       1002 |        974 |        974 |        974 |        974 |        974 |       1015 |        974 |       1015 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.35% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1085822 |    1086098 |    1086210 |    1086030 |    1085670 |    1086015 |    1086147 |    1086134 |    1086228 |    1086151 |    1086224 |    1086133 |    1085866
    num misses                       |         40 |         40 |         42 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         42 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
