                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |    9868373 |    9726805 |    9887072 |    9746439 |    9871696 |    9757350 |    9765638 |    9772497 |    9814952 |    9795980 |    9890927 |    9866158 |    9842425 |    9893157
  Cycles                             |   89975830 |   89975830 |   89975830 |   89975830 |   89975830 |   89975830 |   89975830 |   89975830 |   89975830 |   89975830 |   89975830 |   89975830 |   89975830 |   89975830
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |   33825500 |   33825500 |   33825500 |   33825500 |   33825500 |   33825500 |   33825500 |   33825500 |   33825500 |   33825500 |   33825500 |   33825500 |   33825500 |   33825500
  Idle time (ns)                     |         58 |         43 |        -89 |        167 |        140 |        -89 |        272 |          3 |        272 |          8 |         36 |          3 |        113 |        -89
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     286653 |     282730 |     287172 |     283275 |     286746 |     283578 |     283807 |     283997 |     285174 |     284648 |     287279 |     286592 |     285934 |     287362
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |       1015
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1083511 |    1068059 |    1085553 |    1070202 |    1083875 |    1071395 |    1072298 |    1073047 |    1077682 |    1075610 |    1085975 |    1083270 |    1080679 |    1086228
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4553281 |    4488138 |    4561880 |    4497176 |    4554810 |    4502189 |    4506011 |    4509165 |    4528699 |    4519970 |    4563659 |    4552261 |    4541341 |    4564635
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         75
    num misses                       |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         75
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1083511 |    1068059 |    1085553 |    1070202 |    1083875 |    1071395 |    1072298 |    1073047 |    1077682 |    1075610 |    1085975 |    1083270 |    1080679 |    1086228
    num cache misses                 |     366734 |     359894 |     360225 |     355293 |     357474 |     352532 |     351750 |     351110 |     351711 |     350419 |     353315 |     351932 |     350693 |     352291
    miss rate                        |     33.85% |     33.70% |     33.18% |     33.20% |     32.98% |     32.90% |     32.80% |     32.72% |     32.64% |     32.58% |     32.53% |     32.49% |     32.45% |     32.43%
    mpki                             |      37.16 |      37.00 |      36.43 |      36.45 |      36.21 |      36.13 |      36.02 |      35.93 |      35.83 |      35.77 |      35.72 |      35.67 |      35.63 |      35.61
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4553281 |    4488138 |    4561880 |    4497176 |    4554810 |    4502189 |    4506011 |    4509165 |    4528699 |    4519970 |    4563659 |    4552261 |    4541341 |    4564635
    num cache misses                 |    1929979 |    2069884 |    1938286 |    2079950 |    1990434 |    2086248 |    2089702 |    2089589 |    2024512 |    2058399 |    2012147 |    1989514 |    1981296 |    1998706
    miss rate                        |     42.39% |     46.12% |     42.49% |     46.25% |     43.70% |     46.34% |     46.38% |     46.34% |     44.70% |     45.54% |     44.09% |     43.70% |     43.63% |     43.79%
    mpki                             |     195.57 |     212.80 |     196.04 |     213.41 |     201.63 |     213.81 |     213.99 |     213.82 |     206.27 |     210.13 |     203.43 |     201.65 |     201.30 |     202.03
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2296725 |    2429790 |    2298523 |    2435255 |    2347920 |    2438792 |    2441464 |    2440711 |    2376237 |    2408830 |    2365474 |    2341460 |    2332001 |    2351013
    num cache misses                 |    2093501 |    2196734 |    2101204 |    2200222 |    2159595 |    2205738 |    2207529 |    2205485 |    2199948 |    2203837 |    2158262 |    2182879 |    2190259 |    2142177
    miss rate                        |     91.15% |     90.41% |     91.42% |     90.35% |     91.98% |     90.44% |     90.42% |     90.36% |     92.58% |     91.49% |     91.24% |     93.23% |     93.92% |     91.12%
    mpki                             |     212.14 |     225.84 |     212.52 |     225.75 |     218.77 |     226.06 |     226.05 |     225.68 |     224.14 |     224.97 |     218.21 |     221.25 |     222.53 |     216.53
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2093513 |    2196746 |    2101216 |    2200234 |    2159607 |    2205750 |    2207541 |    2205497 |    2199964 |    2203849 |    2158274 |    2182895 |    2190271 |    2142195
    num cache misses                 |       1493 |       1489 |       1491 |       1491 |       1492 |       1488 |       1489 |       1489 |       1490 |       1494 |       1493 |       1493 |       1496 |       1542
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.16
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      20992 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      92.08 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      38.65 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
