                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |    9859292 |    9893074 |    9856434 |    9858462 |    9851758 |    9850054 |    9849651
  Cycles                             |   28165676 |   28165676 |   28165676 |   28165676 |   28165676 |   28165676 |   28165676
  IPC                                |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35
  Time (ns)                          |   10588600 |   10588600 |   10588600 |   10588600 |   10588600 |   10588600 |   10588600
  Idle time (ns)                     |        -39 |        -86 |        -39 |        -86 |          3 |        -86 |         12
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |     286401 |     287362 |     286323 |     286379 |     286193 |     286147 |     286134
  num incorrect                      |        974 |       1015 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    1082519 |    1086228 |    1082208 |    1082430 |    1081698 |    1081514 |    1081467
    num misses                       |         40 |         43 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    4549101 |    4564600 |    4547786 |    4548713 |    4545636 |    4544843 |    4544665
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |         72 |         75 |         72 |         72 |         72 |         72 |         72
    num misses                       |         72 |         75 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    1082519 |    1086228 |    1082208 |    1082430 |    1081698 |    1081514 |    1081467
    num cache misses                 |     355051 |     354207 |     352335 |     351144 |     350243 |     349476 |     348867
    miss rate                        |     32.80% |     32.61% |     32.56% |     32.44% |     32.38% |     32.31% |     32.26%
    mpki                             |      36.01 |      35.80 |      35.75 |      35.62 |      35.55 |      35.48 |      35.42
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |    4549101 |    4564600 |    4547786 |    4548713 |    4545636 |    4544843 |    4544665
    num cache misses                 |     308889 |     163262 |     320709 |     320661 |     320612 |     324922 |     321885
    miss rate                        |      6.79% |      3.58% |      7.05% |      7.05% |      7.05% |      7.15% |      7.08%
    mpki                             |      31.33 |      16.50 |      32.54 |      32.53 |      32.54 |      32.99 |      32.68
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |     663954 |     517486 |     673058 |     671820 |     670869 |     674412 |     670766
    num cache misses                 |      16402 |      12400 |      16180 |      16138 |      16279 |      16385 |      16073
    miss rate                        |      2.47% |      2.40% |      2.40% |      2.40% |      2.43% |      2.43% |      2.40%
    mpki                             |       1.66 |       1.25 |       1.64 |       1.64 |       1.65 |       1.66 |       1.63
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |      16419 |      12420 |      16197 |      16155 |      16296 |      16402 |      16090
    num cache misses                 |       1476 |       1525 |       1476 |       1476 |       1476 |       1476 |       1476
    miss rate                        |      8.99% |     12.28% |      9.11% |      9.14% |      9.06% |      9.00% |      9.17%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      10381 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      79.38 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      25.95 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |        396 |        249 |        364 |        348 |        365 |        384 |        359
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
